name,t0_year,treated,case_per_t.pre20,case_per_t.pre19,case_per_t.pre18,case_per_t.pre17,case_per_t.pre16,case_per_t.pre15,case_per_t.pre14,case_per_t.pre13,case_per_t.pre12,case_per_t.pre11,case_per_t.pre10,case_per_t.pre9,case_per_t.pre8,case_per_t.pre7,case_per_t.pre6,case_per_t.pre5,case_per_t.pre4,case_per_t.pre3,case_per_t.pre2,case_per_t.pre1,case_per_t.0,case_per_t.1,case_per_t.2,case_per_t.3,case_per_t.4,case_per_t.5,case_per_t.6
Albania,2010,1,16.65793408390947,17.03384668129877,17.186427388152715,17.3975850303986,17.79683844546094,18.545171191021723,19.33155368015421,20.38699849219304,21.51138074431123,22.562241498106328,23.77836127686809,24.505804083625335,25.267370477317343,25.901956036551987,26.414803866216,26.86745783727441,27.38336273415255,27.802197765197977,28.60502817141302,29.356598539582496,29.74952806725389,30.07061488127303,30.508884805928556,31.128889859113283,31.90573963415647,32.781928577850614,33.483872784717924
Algeria,0,0,4.841734579975898,4.729855424814379,4.650600307785803,4.642359836577139,4.3376341106350065,4.095991726451082,3.8947098227223425,3.785045987373188,3.7370694728904543,3.5792236767751047,3.636151311359465,3.6911856279904898,3.7868720362345054,3.966609672721218,3.915400035438892,3.918198672308606,3.9339079734979556,3.954844248361955,3.980215274283884,4.046349736745187,4.127151103206223,4.212045919606735,4.297306051780088,4.412100074456266,4.508969086589814,7.272141542,7.439557073
Angola,0,0,3.2526527449126243,3.1943295946078645,3.1467548317863927,3.1111769242546092,3.03158411085222,2.939500948521111,2.8619234875908224,2.798031193421816,2.7472210781058704,2.6793143981267753,2.6154978435927494,2.5778803791765976,2.535699438824898,2.497735366018573,2.484180446508309,2.4736718238767472,2.471695229400051,2.4678565043733363,2.4706880347686,2.48535754186715,2.506977378656341,2.530079237275399,2.55558533582775,2.58571286146581,2.6116684410169695,5.012483535,5.110692055
Argentina,2012,1,26.116992530716402,25.94410738171739,25.991006686138217,26.110302442551674,26.085915896715168,25.808500319063864,25.68625503976311,25.48678103166521,25.225709800244072,24.936148655137924,24.92350207897761,24.913892524196548,24.768776448698258,24.585963246167864,24.61282901478233,24.819662323412864,24.854018168939895,24.836852878653165,24.834700153987207,24.812676420555825,24.796642467828608,24.781641371624982,24.75510610623513,25.027238498704186,25.25223003393777,30.40077394,30.38898745
Armenia,0,0,28.997740224583335,30.385259362536647,31.200512598122096,30.753890858591966,30.83883564646695,30.729176807110953,31.048116393684673,31.87353918071103,32.019512659153634,32.76967868866216,32.938955350998164,33.681275095777316,34.885019070454874,36.99037521693833,39.059243802439305,39.01091687793999,40.698992129288094,40.98585433853607,40.23961236069474,39.93831469517504,38.98151297447958,37.70336275660522,38.008476162124545,39.12072872227154,38.8638579744134,42.63346446,43.49674859
Australia,0,0,41.37267790797371,41.72666553461256,42.41612993559227,42.64901505090749,43.025339959587136,43.11173516228331,43.16557105445994,43.40188101025045,43.94408186707044,44.40617112244372,44.98895752974343,45.309418257486655,46.09567057841549,46.41712593406162,46.45848129520386,47.08401352052085,47.98928900852738,48.97158821115911,50.183076696131714,50.89166421665438,51.47908600822619,52.37047060745813,53.37334977133362,54.410113875149875,55.24799049494093,50.07737415,51.44908933
Austria,0,0,45.90707294455131,46.26017929241086,46.33071232055774,46.837566577313986,47.433495870155824,47.779623623924635,48.15759825162731,48.518303312027896,48.7394099979954,48.68835293615888,49.439139554937,49.974370255064905,50.445143800157766,51.06936471334053,51.864266449589486,52.91371079238628,54.1019307105357,55.32172253189766,56.130015960008635,57.46490883847179,58.68535328210908,59.522940514206496,59.98135345637368,60.048487168186696,60.47271110679724,58.32379986,57.52689249
Azerbaijan,0,0,15.172885580563662,14.691519453487754,14.509481277685264,13.519457113671704,13.002576323586243,12.660734220010843,12.388853784910905,12.368168864113246,12.263623487314565,12.24861919321432,12.416008419043193,12.754035049367875,12.830433997471857,12.903114331166547,13.26835247597103,13.614021185601251,14.23203322911199,14.540456764167462,15.164232988143134,15.347186474513148,15.712822070736586,16.11715061197534,16.569343578590175,17.12158374338724,17.41527711335287,22.27199178,22.52246537
Bahamas,0,0,9.311049964665372,9.156475384132957,9.33119206522409,10.086409045645821,10.067610395098246,10.484996328685321,10.695113558155539,10.436539108966445,10.468217886560755,10.59751898433008,10.95375694360928,11.292686899397362,11.009962589332472,11.414569275476529,11.207375721984583,11.248210511964007,11.371042830540036,11.62471395881007,11.866928122253027,12.255863041356237,12.517155736960952,13.07324832090467,13.40168634064081,13.722608230892572,14.230412015145943,14.29402045,14.76853197
Bahrain,0,0,9.72887616090785,9.457080408495147,9.290562055350353,9.192865683397848,9.114144550954705,9.053211570495204,8.955559502490642,8.530492977660478,8.268006800981027,8.032399111174826,7.745463449138939,7.369899885451287,7.143494094084926,6.927910369034939,6.6296405658044515,6.390430185998201,6.229786165101893,6.102567348058139,6.052234572040126,6.0462245130277825,6.03411536822412,6.04397317473607,6.053561444621663,6.0421925672794385,6.119401624218943,8.067787146,8.843911954
Bangladesh,0,0,8.41658447216871,8.408714182276476,8.41418739806647,8.524117140886068,8.565096687225314,8.571222585152329,8.656004298825286,8.60387385842704,8.904551448621316,8.499323334817628,8.403262073316478,8.404648485582905,8.841992661915437,9.34953988910962,9.7152553831627,10.273475997516087,10.480473730473918,10.848457933417004,11.42933458308064,12.119421301893482,13.11010489912989,14.304469676514447,15.92050629125001,16.951445928060483,17.669352702784213,5.55850517,5.814318963
Barbados,2010,1,10.01406491321527,10.320260240080637,10.723116132222604,10.75154716923928,10.857214044916251,11.009381286307834,10.904447531707902,10.824698060652615,10.700468563196626,10.556284779353312,10.614671228789994,10.447936468325908,10.17836831575983,10.275907571510327,10.258533945067441,10.484221192819918,10.646004144517523,10.710402904905257,10.794939023954619,11.013599803633491,11.22528187260528,11.452822921194258,11.734309018745284,12.061457505258641,12.386553146669007,12.771311512755538,13.128153451038846
Belarus,0,0,42.952115554589795,45.535962809049664,46.21854696730357,47.12693392699958,46.39616109699143,46.03074712726045,45.23418126138867,44.40496999123743,42.88875016157946,42.76546351334923,42.19927772892089,40.96818240418327,40.63680031111558,40.303024188437085,39.0854732426826,37.56163219294143,37.470776874648735,37.42552408664325,37.65912864794372,37.61566569357986,35.5177119619733,34.47005473032425,33.92342606219072,34.563404838942205,35.36831718320705,38.67857827,38.91229059
Belgium,0,0,74.30784065317837,74.97633738989883,74.46496269179406,73.86987880113381,71.94802767884684,69.96806382716457,70.44706815872338,69.67707855506409,70.21953420314595,71.71739462230852,72.46439367508373,71.17931121353205,71.48490610957327,71.73427562053274,71.6995649774108,72.6971399531325,73.89813214281679,74.96610241862797,76.02151917299354,76.50433075345906,77.65942926453496,78.06355660296286,77.49278106088674,78.04982279889404,78.71306884519878,76.1421909,75.87254349
Belize,0,0,5.5783125090055785,5.996204933586338,6.356636040440502,6.808013065200376,6.8754095291584765,7.148820940990635,7.266078315555401,7.3228191598424965,7.4036634183817895,7.499960794768455,7.34030268267864,7.230131983312796,7.059266009923475,7.107167774261976,7.160068374190803,7.136383853179101,7.258280045107588,7.408113648281453,7.430263749554215,7.518865296333531,7.662699222783363,7.827437685670236,8.008693535880644,8.217751007131657,8.425647192310512,8.379126861,8.776341551
Bosnia and Herzegovina,0,0,38.774605407644856,39.806910618935305,40.97012417290673,42.142579005909816,43.02576307260164,43.89157590730367,44.949600170097085,45.63903003537204,46.850907555390634,47.36528741471873,48.454416395855816,49.693276157248235,50.61349122813543,51.61218187400208,52.948381350085064,54.10319095586228,55.1786356888879,56.28455451030463,57.84408921062276,59.31049966772944,60.89034810811291,62.90948055636005,65.32540939305122,66.91536209942258,68.33078234029666,70.32309445,72.1982112
Botswana,0,0,7.451921137684895,7.685600131512175,7.998265066827701,8.363889072287607,8.662053639072681,8.958572444989173,9.288456156672021,9.633847950020494,10.00588438253233,9.881923287756303,9.765715515972023,9.57860039310719,9.342787702070705,9.09299601962562,8.991176587536106,8.88209706642324,8.816393093468696,8.746886989728665,8.747394452032252,8.721319674546963,8.765654793628597,8.838569325073658,8.868060665923272,8.936604429824644,8.987812076808222,12.18490714,12.49145124
Brazil,2012,1,9.279532832563792,9.434807927411192,9.672719809447894,9.911499198718744,10.096511318474011,10.315051973922511,10.539937764795157,10.841407704889837,11.08203697688349,11.228421789151497,11.412633781295957,11.706478467068484,11.975056595697371,12.202354747810297,12.330226062116099,12.478653800026608,12.624732749293052,12.762027970951355,12.941152383775893,13.142520985328366,13.344764602451418,13.616433410819988,13.90778225124902,14.23630341048712,14.493775257192539,16.16594251,16.40650851
Bulgaria,2012,1,38.26905431792645,39.315237763288486,40.32466754962433,40.79910379015537,40.71494492412015,40.81547456060272,40.55161415107525,40.15395175811242,40.18030464964508,41.311166664294376,42.920006364549614,44.43735935478984,46.11383386506947,48.51408256878338,49.661742855105544,50.447309318681285,50.98323523825832,51.18274127426322,51.70723831835664,51.63188142935372,51.52446903100623,51.36959291077981,50.75708014105326,50.68994931868819,50.78535911811491,70.49207191,70.09275717
Burkina Faso,2010,1,1.8129542812970965,1.788822780247613,1.7666780322057067,1.7543101142499955,1.7329857310852737,1.7172652202008347,1.6871154702318598,1.669393201589566,1.6575312967180682,1.6424265973309926,1.6390489587697261,1.5940272201915027,1.5630723486522557,1.5318511241424482,1.5070707542015027,1.4886825185787296,1.4815781102745622,1.481052276837214,1.4821924848831411,1.4883332767544337,1.4980252429781307,1.498453386925624,1.5027229083234024,1.5050849038098109,1.510005470820047,1.518115120987602,1.5283956377521606
