name,time,case_per_t,t0_year,year_num,treated,d_case_per_t
Germany,2018,74.34110289,0,6,0,11.60418065964074
Ghana,2006,2.0292186574260036,0,-6,0,NA
Ghana,2018,4.309929909,0,6,0,2.2807112515739965
Greece,2004,64.62290170432311,2010,-6,1,NA
Greece,2016,71.2062977897769,2010,6,1,6.583396085453785
Guinea-Bissau,2006,3.5417129434037316,0,-6,0,NA
Guinea-Bissau,2018,4.808180597,0,6,0,1.2664676535962682
Haiti,2006,7.4335586568935135,0,-6,0,NA
Haiti,2018,6.229076134,0,6,0,-1.2044825228935139
Honduras,2004,3.6617015103626236,2010,-6,1,NA
Honduras,2016,4.278058599943003,2010,6,1,0.6163570895803798
Hungary,2006,89.44393861013943,0,-6,0,NA
Hungary,2018,100.4462238,0,6,0,11.002285189860572
Iceland,2006,49.38080597270411,0,-6,0,NA
Iceland,2018,53.28377923,0,6,0,3.9029732572958906
India,2006,4.039502683433966,0,-6,0,NA
India,2018,6.066131278,0,6,0,2.0266285945660343
Indonesia,2006,5.030332036966162,0,-6,0,NA
Indonesia,2018,18.00168183,0,6,0,12.971349793033838
Iraq,2006,5.4142862368298825,0,-6,0,NA
Iraq,2018,9.502962802,0,6,0,4.088676565170118
Israel,2006,24.56866609013709,0,-6,0,NA
Israel,2018,28.43469836,0,6,0,3.8660322698629095
Italy,2006,68.00570012588922,0,-6,0,NA
Italy,2018,68.67896725,0,6,0,0.6732671241107795
Jamaica,2008,15.277139218273756,2014,-6,1,NA
Jamaica,2020,18.2,2014,6,1,2.922860781726243
Japan,2006,69.7038262393042,0,-6,0,NA
Japan,2018,89.92464033,0,6,0,20.220814090695796
Kazakhstan,2006,25.976534622064094,0,-6,0,NA
Kazakhstan,2018,20.96587232,0,6,0,-5.010662302064095
Kenya,2006,1.3380155599721948,0,-6,0,NA
Kenya,2018,2.281741971,0,6,0,0.9437264110278054
Kuwait,2006,5.193070494,0,-6,0,NA
Kuwait,2018,4.945966522,0,6,0,-0.24710397199999967
Kyrgyzstan,2006,8.99854361490112,0,-6,0,NA
Kyrgyzstan,2018,8.497237864,0,6,0,-0.5013057509011194
Latvia,2006,59.21950344331413,0,-6,0,NA
Latvia,2018,52.5158087,0,6,0,-6.703694743314131
Lebanon,2006,19.24256685211019,2012,-6,1,NA
Lebanon,2018,27.38460539,2012,6,1,8.14203853788981
Lesotho,2006,12.150660348866017,0,-6,0,NA
Lesotho,2018,11.02899787,0,6,0,-1.1216624788660177
Liberia,2006,1.842778964745701,0,-6,0,NA
Liberia,2018,3.567727998,0,6,0,1.7249490332542992
Libya,2004,9.128460956368496,2010,-6,1,NA
Libya,2016,12.763548649447948,2010,6,1,3.635087693079452
Lithuania,2006,50.37387890611023,0,-6,0,NA
Lithuania,2018,50.17120245,0,6,0,-0.20267645611022544
Luxembourg,2006,60.2111133914611,0,-6,0,NA
Luxembourg,2018,51.24009568,0,6,0,-8.971017711461094
Malawi,2006,1.662903538722552,0,-6,0,NA
Malawi,2018,2.232422159,0,6,0,0.569518620277448
Malaysia,2006,12.913464392770097,0,-6,0,NA
Malaysia,2018,15.92628116,0,6,0,3.0128167672299035
Mali,2006,1.5720219477167132,0,-6,0,NA
Mali,2018,2.732976682,0,6,0,1.1609547342832867
Malta,2004,36.137942721572614,2010,-6,1,NA
Malta,2016,46.04968420312898,2010,6,1,9.91174148155637
Mauritania,2006,2.3573961698096473,0,-6,0,NA
Mauritania,2018,5.259760512,0,6,0,2.9023643421903524
Mexico,2006,6.559585192118773,0,-6,0,NA
Mexico,2018,8.283881211,0,6,0,1.724296018881228
Mongolia,2006,13.790548425193466,2012,-6,1,NA
Mongolia,2018,18.7034835,2012,6,1,4.912935074806535
Montenegro,2006,57.971627169627254,0,-6,0,NA
Montenegro,2018,90.05932077,0,6,0,32.087693600372745
Morocco,2006,9.484919649732547,0,-6,0,NA
Morocco,2018,14.23024511,0,6,0,4.745325460267454
Mozambique,2006,1.8398387712245121,0,-6,0,NA
Mozambique,2018,2.921347325,0,6,0,1.081508553775488
Myanmar,2006,15.237241706560848,0,-6,0,NA
Myanmar,2018,18.3085579,0,6,0,3.071316193439152
Namibia,2004,2.4012743894991817,2010,-6,1,NA
Namibia,2016,2.1271867700517886,2010,6,1,-0.2740876194473931
Nepal,2006,4.220636093877216,2012,-6,1,NA
Nepal,2018,5.617980313,2012,6,1,1.3973442191227843
Netherlands,2006,76.04553526250695,0,-6,0,NA
Netherlands,2018,87.60291075,0,6,0,11.557375487493061
Nicaragua,2006,3.0008576729079643,0,-6,0,NA
Nicaragua,2018,5.41371954,0,6,0,2.4128618670920354
Niger,2006,1.980278661527044,0,-6,0,NA
Niger,2018,2.833969664,0,6,0,0.853691002472956
Nigeria,2006,1.8209912065391824,0,-6,0,NA
Nigeria,2018,2.755843242,0,6,0,0.9348520354608176
Oman,2006,2.189283515315104,0,-6,0,NA
Oman,2018,3.244749853,0,6,0,1.055466337684896
Pakistan,2004,8.397003388727688,2010,-6,1,NA
Pakistan,2016,8.27776739845508,2010,6,1,-0.11923599027260856
Papua New Guinea,2006,7.299803772921806,2012,-6,1,NA
Papua New Guinea,2018,9.936730619,2012,6,1,2.636926846078194
Peru,2004,6.154778780046182,2010,-6,1,NA
Peru,2016,7.334467307740313,2010,6,1,1.1796885276941316
Philippines,2006,11.09328363409734,0,-6,0,NA
Philippines,2018,12.01878986,0,6,0,0.9255062259026605
Poland,2006,58.86453640881935,0,-6,0,NA
Poland,2018,77.25793935,0,6,0,18.393402941180653
Portugal,2006,36.908227564195165,0,-6,0,NA
Portugal,2018,43.78018228,0,6,0,6.871954715804833
Qatar,2006,3.1944726920008137,0,-6,0,NA
Qatar,2018,4.122099981,0,6,0,0.9276272889991861
Republic of Korea,2006,37.91112205195014,0,-6,0,NA
Republic of Korea,2018,56.89903003,0,6,0,18.98790797804986
Republic of Moldova,2006,33.737428800091664,0,-6,0,NA
Republic of Moldova,2018,29.2458574,0,6,0,-4.491571400091665
Rwanda,2006,1.492700375591236,0,-6,0,NA
Rwanda,2018,3.589230397,0,6,0,2.096530021408764
Samoa,2006,3.5439034908278693,0,-6,0,NA
Samoa,2018,7.585714129,0,6,0,4.041810638172131
Sao Tome and Principe,2006,6.067690937430416,0,-6,0,NA
Sao Tome and Principe,2018,9.028415371,0,6,0,2.9607244335695837
Saudi Arabia,2006,3.1090712246186096,0,-6,0,NA
Saudi Arabia,2018,4.204030805,0,6,0,1.0949595803813907
Senegal,2006,2.5243642042643155,0,-6,0,NA
Senegal,2018,5.649526991,0,6,0,3.1251627867356846
Serbia,2006,77.83817434607977,0,-6,0,NA
Serbia,2018,87.67048348,0,6,0,9.832309133920234
Sierra Leone,2006,2.486087380173059,0,-6,0,NA
Sierra Leone,2018,4.31564152,0,6,0,1.8295541398269406
Singapore,2006,25.855842448876654,0,-6,0,NA
Singapore,2018,36.50811207,0,6,0,10.652269621123349
